company,slug,category,hq_country,date,change_type,description,announced,notice_period,grandfathering,user_reaction
Google (Gemini consumer plans),google-gemini,foundation_lab,US,2026-05-19,plan_restructure,I/O 2026: Ultra restructured — new $100/mo Ultra tier (5x limits) introduced and top tier cut from $249.99 to $200/mo. Lineage: Feb 2024 'Google One AI Premium' $19.99 → May 2025 rebrand to AI Pro + Ultra launch at $249.99 → Jan 2026 Plus tier ($7.99) → these cuts. One Premium subscribers grandfathered with 2TB.,True,immediate,legacy One Premium grandfathered,Positive
Google (Gemini consumer plans),google-gemini,foundation_lab,US,2026-06-08,price_decrease,AI Plus cut from $7.99 (Jan 2026 launch price) to $4.99/mo with storage doubled to 400GB.,True,immediate,n/a (downward),Positive
Instantly,instantly,gtm_tooling,US,2026-01-15,price_increase,"Growth repositioned from ~$37/mo to $47 monthly ($37.60 annual), with new bundle SKUs (Starter/Scale/Agency) — effective increase via repackaging; date approximated, reported only.",False,unknown,unknown,Third-party pricing guides flagged the shift
Lindy,lindy,agent_platform,US,2026-02-15,plan_restructure,"Free tier (400 credits/mo) discontinued; credit numbers dropped from public tiers; relaunched as Plus/Pro/Max assistant plans with vague usage multiples (date approximated within Jan–Mar 2026 window; reported only). Prior: Pro $49.99 ≈ 5,000 credits, Business $299 ≈ 30,000 credits.",False,unknown,unknown,Third-party guides flagged the opacity increase
Lovable,lovable,coding_agent,SE,2025-06-30,meter_change,"Shift from flat message counts to fractional complexity-based credits with daily credits and rollover (iterative rollout through 2025; exact date approximated to mid-2025 — reported only, docs changelog). Original late-2024 launch was $20/mo near-unlimited messaging, then message counts, then credits.",True,iterative/rolling,unknown,Modest recurring complaints about credit burn on errors; no single backlash event
Manus (Meta),manus,agent_platform,US,2025-03-31,plan_added,"Paid launch: Starter $39/mo (3,900 credits), Pro $199/mo (19,900 credits). Later restructured to the current 'Pro' ladder (from $20/4,000 credits) with explicit grandfathering for existing members at unchanged prices.",True,immediate,full — existing members auto-renew at unchanged prices (primary help center),Launch complaints about credit burn and no upfront task estimates
Midjourney,midjourney,creative_ai,US,2025-06-18,meter_change,Video V1 launch: video jobs cost ~8x an image job in GPU time (reported figure — Holz statement); unlimited Relax video added to Pro/Mega. Headline plan prices unchanged — a capability-expansion that repriced effective usage.,True,immediate,n/a,Fast-hour burn complaints from video users
Perplexity,perplexity,search_ai,US,2026-03-18,price_decrease,Comet browser — launched July 2025 as a Max-gated ($200/mo) product — made free on all platforms. Comet Plus publisher-content add-on $5/mo (reported).,True,immediate,n/a (moved down-market),Positive
Replit,replit,coding_agent,US,2025-06-18,meter_change,"'Effort-Based Pricing' replaced flat $0.25/checkpoint — simple tasks under $0.25, complex tasks bundled into one variable-priced checkpoint. Applied to existing subscribers July 1, 2025.",True,~2 weeks for existing subscribers,none,Initial acceptance; complaints grew with Agent 3
Replit,replit,coding_agent,US,2025-09-10,other,"Agent 3 launch triggered cost-unpredictability backlash: users reported ~$1,000/week vs prior $180–200/month, single prompts costing $20, no pre-run estimate, and billing for failed/looping runs. Replit's FAQ disclaims the agent is 'probabilistic... may occasionally make mistakes.'",True,n/a — product launch with existing meter,n/a,"Documented backlash (The Register, InfoWorld)"
Runway,runway,creative_ai,US,2025-11-01,plan_restructure,"'Unlimited' plan ($76/mo: 2,250 credits + unlimited throttled Explore Mode) retired, replaced by credit-only Max (9,500 credits, no Explore Mode) — an 'unlimited'-to-metered conversion. Date approximated 2025/26; reported only.",True,unknown,unknown,Complaints from heavy Explore Mode users (reported)
xAI (Grok / SuperGrok),xai-grok,foundation_lab,US,2025-07-09,plan_added,"SuperGrok Heavy launched at $300/mo — multi-agent Grok 4 Heavy, top-tier limits; at the time the most expensive consumer AI subscription.",True,immediate,n/a,Sticker-shock commentary
xAI (Grok / SuperGrok),xai-grok,foundation_lab,US,2026-03-19,limits_change,Free tier lost all Imagine image/video generation — a quiet removal; SuperGrok Lite ($10/mo) launched days later (Mar 25) as the new entry point for generation features.,False,none,none,User complaints about the silent removal
Zapier (AI / Agents),zapier,agent_platform,US,2026-06-15,meter_change,"AI by Zapier steps repriced by model tier: Standard 1x, Advanced 3x (default), Premium 5x tasks per run; tool calls billed additively.",True,announced via help center in advance,none,
Zapier (AI / Agents),zapier,agent_platform,US,2026-07-15,price_increase,Pay-per-task overage rates raised for monthly plans.,True,~1 month,monthly plans affected; annual unaffected until renewal,
